a-150 tissue-equivalent plastic,,,,,,,,
1.127000,zaid,w-p,a-f,,,,,
H,1001,0.101327,0.583640,,,,,
C,6000,0.775501,0.374859,,,,,
N,7014,0.035057,0.014531,,,,,
O,8016,0.052316,0.018984,,,,,
F,9019,0.017422,0.005324,,,,,
Ca,20000,0.018378,0.002662,,,,,
,,,,,,,,
acetone,,,,,,,,
0.789900,,,,,,,,
H,1001,0.104122,0.599985,,,,,
C,6000,0.620405,0.300013,,,,,
O,8016,0.275473,0.100002,,,,,
,,,,,,,,
acetylene,,,,,,,,
0.001097,,,,,,,,
H,1001,0.077418,0.499983,,,,,
C,6000,0.922582,0.500017,,,,,
,,,,,,,,
air dry sea level,,,,,,,,
0.001205,,,,,,,,
C,6000,0.000124,0.00015,,,,,
N,7014,0.755268,0.784431,,,,,
O,8016,0.231781,0.210748,,,,,
Ar,18000,0.012827,0.004671,,,,,
,,,,,,,,
alanine,,,,,,,,
1.420000,,,,,,,,
H,1001,0.079190,0.538450,,,,,
C,6000,0.404439,0.230778,,,,,
N,7014,0.157213,0.076924,,,,,
O,8016,0.359159,0.153848,,,,,
,,,,,,,,
aluminum,,,,,,,,
2.6989,,,,,,,,
Al,13027,1,1,,,,,
,,,,,,,,
aluminum oxide,,,,,,,,
3.97,,,,,,,,
O,8016,0.470749,0.6,,,,,
Al,13027,0.529251,0.4,,,,,
,,,,,,,,
aluminum 2024-o,,,,,,,,
2.78,,,,,,,,
Mg,12000,0.015,0.017158,,,,,
Al,13027,0.927,0.955163,,,,,
Si,14000,0.00283,0.002801,,,,,
Ti,22000,0.00085,0.000494,,,,,
Cr,24000,0.00057,0.000305,,,,,
Mn,25055,0.006,0.003036,,,,,
Fe,26000,0.00283,0.001409,,,,,
Cu,29000,0.0435,0.019031,,,,,
Zn,30000,0.00142,0.000604,,,,,
,,,,,,,,
aluminum 2090-t83,,,,,,,,
2.59,,,,,,,,
Li,3000,0.0225,0.083519,,,,,
Mg,12000,0.00163,0.001728,,,,,
Al,13027,0.944,0.901423,,,,,
Si,14000,0.00065,0.000596,,,,,
Ti,22000,0.00098,0.000527,,,,,
Cr,24000,0.00033,0.000164,,,,,
Mn,25055,0.00033,0.000155,,,,,
Fe,26000,0.00078,0.00036,,,,,
Cu,29000,0.027,0.010947,,,,,
Zn,30000,0.00065,0.000256,,,,,
Zr,40000,0.00115,0.000325,,,,,
,,,,,,,,
aluminum 3003,,,,,,,,
2.73,,,,,,,,
Al,13027,0.9785,0.987924,,,,,
Si,14000,0.00332,0.00322,,,,,
Mn,25055,0.0125,0.006198,,,,,
Fe,26000,0.00388,0.001893,,,,,
Cu,29000,0.00125,0.000536,,,,,
Zn,30000,0.00055,0.000229,,,,,
,,,,,,,,
aluminum 4043-o,,,,,,,,
2.69,,,,,,,,
Be,4009,0.000005,0.000015,,,,,
Mg,12000,0.00028,0.000313,,,,,
Al,13027,0.939,0.94497,,,,,
Si,14000,0.0525,0.050757,,,,,
Ti,22000,0.00113,0.000641,,,,,
Mn,25055,0.00028,0.000138,,,,,
Fe,26000,0.00453,0.002203,,,,,
Cu,29000,0.0017,0.000726,,,,,
Zn,30000,0.00057,0.000237,,,,,
,,,,,,,,
aluminum 5086-o,,,,,,,,
2.66,,,,,,,,
Mg,12000,0.04,0.044473,,,,,
Al,13027,0.9465,0.947944,,,,,
Si,14000,0.00214,0.002059,,,,,
Ti,22000,0.0008,0.000452,,,,,
Cr,24000,0.0015,0.00078,,,,,
Mn,25055,0.0045,0.002213,,,,,
Fe,26000,0.00268,0.001297,,,,,
Cu,29000,0.00054,0.00023,,,,,
Zn,30000,0.00134,0.000554,,,,,
,,,,,,,,
aluminum 6061-o,,,,,,,,
2.7,,,,,,,,
Mg,12000,0.01,0.011162,,,,,
Al,13027,0.972,0.977325,,,,,
Si,14000,0.006,0.005796,,,,,
Ti,22000,0.00088,0.000499,,,,,
Cr,24000,0.00195,0.001017,,,,,
Mn,25055,0.00088,0.000435,,,,,
Fe,26000,0.00409,0.001987,,,,,
